club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
6195,ssc-neapel,SSC Napoli,IT1,,30,25.3,17,56.7,17,Stadio Diego Armando Maradona,54726,+€17.50m,null,2023,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195
720,fc-porto,FC Porto,PO1,,29,26.4,15,51.7,8,Estádio do Dragão,50033,+€500k,null,2023,https://www.transfermarkt.co.uk/fc-porto/startseite/verein/720
833,denizlispor,Denizlispor,TR1,,27,25.8,3,11.1,1,Denizli Atatürk Stadı,18745,+-0,null,2020,https://www.transfermarkt.co.uk/denizlispor/startseite/verein/833
862,chievo-verona,Chievo Verona,IT1,,0,,0,,0,Marcantonio Bentegodi,31045,+-0,null,2018,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
931,fc-fulham,Fulham FC,GB1,,23,28.0,21,91.3,11,Craven Cottage,22384,+-0,null,2023,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
968,kvc-westerlo,KVC Westerlo,BE1,,29,24.3,17,58.6,3,Het Kuipje,8035,€-6.80m,null,2023,https://www.transfermarkt.co.uk/kvc-westerlo/startseite/verein/968
982,cd-nacional,CD Nacional,PO1,,27,25.0,12,44.4,2,Estádio da Madeira,5586,+-0,null,2020,https://www.transfermarkt.co.uk/cd-nacional/startseite/verein/982
1032,fc-reading,Reading FC,GB1,,27,27.1,17,63.0,7,Select Car Leasing Stadium,24161,+-0,null,2012,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
1085,vitoria-setubal-fc,Vitória Setúbal FC,PO1,,29,26.0,10,34.5,0,Estádio do Bonfim,18642,+-0,null,2019,https://www.transfermarkt.co.uk/vitoria-setubal-fc/startseite/verein/1085
1090,az-alkmaar,AZ Alkmaar,NL1,,31,23.0,12,37.5,6,AFAS Stadion,19478,+€36.17m,null,2023,https://www.transfermarkt.co.uk/az-alkmaar/startseite/verein/1090
1124,fakel-voronezh,Fakel Voronezh,RU1,,23,28.1,2,8.7,1,Central Stadium of Profsoyuzes,21793,€-30k,null,2023,https://www.transfermarkt.co.uk/fakel-voronezh/startseite/verein/1124
141,galatasaray-istanbul,Galatasaray,TR1,,31,25.0,14,45.2,15,Ali Sami Yen Spor Kompleksi RAMS Stadyumu,52223,+€500k,null,2023,https://www.transfermarkt.co.uk/galatasaray-istanbul/startseite/verein/141
1423,fc-valenciennes,Valenciennes FC,FR1,,28,25.0,8,28.6,4,Stade du Hainaut,25000,€-500k,null,2013,https://www.transfermarkt.co.uk/fc-valenciennes/startseite/verein/1423
162,as-monaco,AS Monaco,FR1,,28,23.8,28,100.0,10,Stade Louis-II,18523,€-4.00m,null,2023,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
20,bursaspor,Bursaspor,TR1,,26,21.4,0,,0,Bursa Büyükşehir Belediye Stadyumu,43361,+-0,null,2018,https://www.transfermarkt.co.uk/bursaspor/startseite/verein/20
2227,sk-tavriya-simferopol,SK Tavriya Simferopol ( - 2022),UKR1,,0,,0,,0,RS Lokomotiv,19978,+-0,null,2013,https://www.transfermarkt.co.uk/sk-tavriya-simferopol/startseite/verein/2227
2282,fc-brugge,Club Brugge KV,BE1,,33,24.0,21,63.6,12,Jan-Breydel-Stadion,29062,+€17.35m,null,2023,https://www.transfermarkt.co.uk/fc-brugge/startseite/verein/2282
2381,sivasspor,Sivasspor,TR1,,26,27.1,8,30.8,1,Yeni 4 Eylül Stadı,27532,+€400k,null,2023,https://www.transfermarkt.co.uk/sivasspor/startseite/verein/2381
2414,ac-horsens,AC Horsens,DK1,,19,25.1,9,47.4,4,Nordstern Arena Horsens,10400,+-0,null,2022,https://www.transfermarkt.co.uk/ac-horsens/startseite/verein/2414
